df_ind,title,brand,glowpick_exist
149,[쏘내추럴 공식몰] 9관왕 올데이 대용량 메이크업 픽서 120ml,쏘내추럴,O
150,스파시스 CF DF 클리닉 딥 파운데이션 미용실 헤어에센스 남자 컬링 헤어단백질앰플 바르는 트리트먼트 안씻는 트리트먼트,스파시스,O
151,더랩바이블랑두 올리고 히알루론산 5000토너 200ml,더랩 바이 블랑두,O
152,[기획가] 스틸라 매트 앤 메탈 아이섀도우 팔레트 12g,스틸라,O
153,어뮤즈 듀 벨벳 (4g)(8종 택1),어뮤즈,O
154,젤로젤로 셀프 젤네일 아트 컬러 시럽 글리터 젤폴리쉬,젤로젤로,O
155,닥터방기원 댄드러프 비듬탈모샴푸 1000ml,닥터방기원,O
156,이네이처 스퀴즈 그린 워터리 젤 크림 70ml,이네이처,O
157,니베아 맨 쉐이빙폼 200ml X 3개 면도크림,니베아,O
158,미쟝센 헬로버블 셀프염색약 (옵션),미쟝센,O
159,아던샵 셀프 속눈썹펌 단품재료 글루 펌제 롯드,아던샵,O
160,[해서린] 석고 코팩 32매 (화이트/블랙/티트리),해서린,O
161,[샵앤스토리] 네일스티커 14pcs 222종 붙이는 셀프 젤네일 페디큐어 패디 패치 스티커,샵앤스토리(자체제작),X
162,뷰티영 퍼레스 미간 패치,퍼레스,O
163,미쟝센 살롱10 노워시 트리트먼트 밤 135ml,미쟝센,O
164,자담유 유산균 락토 여성 청결제,자연담은유리병,O
165,려 우아채 멋내기 새치 크림 120G (옵션),려,O
166,[바론] 모링가 리페어링 샴푸 1000g,바론,O
167,메디플라워 엠보싱 소프트 화장솜 300매입 3개 총900매,메디플라워,O
168,"프리메라 내추럴 베리 립밤 4g 생기, 보습, 컬러립밤",프리메라,O
169,아이빛 셀프네일 초보자용 말랑이젤팁 말랑팁 투명 말캉팁 7종 240개입,쉬매료(자체제작),X
170,바나다왁싱 101 하드왁스 셀프 제모 재료 500g,바나다왁싱,O
171,미쟝센 데미지케어 로즈프로틴 트리트먼트 180ml [ 극손상모 ㅣ 플로럴향 ㅣ 머릿결 좋아지는법 ㅣ 홈케어 ],미쟝센,O
172,참존 마유 크림 골든 컴플렉스 70ML / 1등 고보습 영양크림,참존,O
173,아이오페 리얼 비타민C 21 앰플 20ml,아이오페,O
174,니베아 맨 센서티브 쉐이빙 폼 200ml,니베아,O
175,순녹 센시티브클렌징밀크 200ml,순녹,O
176,플라이코 FH6276KR 화이트엔젤 접이식 헤어드라이기 1개,플라이코,O
177,설화수 탄력크림 75ml 탄력강화크림 보습탄력 [N페이1만원],설화수,O
178,디오메르 리커버시스템 크림 50ml,디오메르,O
179,[이글립스] 에어 핏 파우더 팩트 (1color/8g),이글립스,O
180,[재구매율 1위](오늘출발)마루빌츠 케머플라지크림 다크 쉐딩 홍조 트러블커버 컨실러,마루빌츠,O
181,[메디플라워] 대용량 모델링팩+팩도구 이벤트,메디플라워,O
182,김정문알로에 쿨링선쿠션 무기자차쿠션 왕쿠션 본품 리필 25g SPF50+,김정문알로에,O
183,메이크프렘 유브이 디펜스 미 모이스처 선크림 60ml,메이크프렘,O
184,에센허브 티트리 90 클리어 바디 미스트 210ml,에센허브,O
185,[뷰티템]5+1 젤 네일스티커 네일패치 페디큐어 패디스티커 손톱스티커 여름네일,잇템샵(자체제작),X
186,앙방 약산성 퍼퓸 두피 케어 지성 천연 탈모샴푸 체리블라썸 550ml 1개,앙방,O
187,닥터방기원 비어이스트 맥주효모 탈모샴푸 1000ml,닥터방기원,O
188,"박준뷰티랩 아델라 고데기 PJP-1703, 1개",박준뷰티랩,O
189,라운드랩 1025 독도 로션 대용량 400ml,라운드랩,O
190,르누베르 수분크림 50g,르누베르,O
191,[리얼베리어] 아쿠아 수딩 크림 50ml / 달아오른 민감피부 / 쾌속진정 / 붉은기진정,리얼베리어,O
192,[닥터지] 레드 블레미쉬 시카 수딩 크림 50ml / 한층 더 강화된 진정 시카 수분크림 비건화장품,닥터지,O
193,"페리페라 올테이크 무드 테크닉 팔레트 0.7g x 3, 0.9g x 6, 2g x 3 / 0.47oz.",페리페라,O
194,"뷰티영 퍼레스 팔자,입가 패치",퍼레스,O
195,[100원딜] 이글립스 라이블리 립매트 (11color/5g),이글립스,O
196,달리프 헤어 퍼퓸샴푸 1000ml (일랑로즈향 / 레이니데이향),달리프,O
197,[No.1선크림][썸머KIT출시]설화수 상백크림 50ml SPF50+ 초미세먼지차단 순한선크림,설화수,O
198,헤라 에이지어웨이 콜라제닉 3종세트(워터 150ml+에멀젼120ml+크림25ml)+[N페이 1만원지급],헤라,O
199,프리메라 오가니언스 2종 기획 (워터180ml+에멀젼150ml) 순한 보습 스킨 로션,프리메라,O
200,[만족도 99% 저자극 각질케어] 라운드랩 1025 독도 토너 대용량 500ml,라운드랩,O
201,[1+1] 마티나겝하르트 아보카도 아이크림 15ml,마티나겝하르트,O
202,(20%쿠폰) 루나 프로 포토 피니셔+크림립스틱본품(+파데6ml),루나,O
203,피스 프리즈킵 헤어스프레이 200ml (가스스프레이),아리미노,O
204,바버501 쉐이빙부스터 스무디 대용량 면도크림 300ml 2종,바버501,O
205,[듀이트리] 어반쉐이드 안티폴루션 선 기획세트 50ml SPF50+PA++++,듀이트리,O
206,얼라이브랩 오투 스칼프 앰플 / 두피앰플 / 두피에센스 25ml x 2,얼라이브랩,O
19164,[네오젠]  화이트 트러플 앰플 드롭 미스트 80ml (히알루론산/오일미스트),네오젠 더마로지,O
208,[1+1] 이글립스 슈퍼슬림 오토 롱 아이라이너 익스트림 에디션(5color/0.05g),이글립스,O
209,라네즈 래디언씨 크림 45ml 톤업 미백 보습,라네즈,O
210,롬앤 베러 댄 팔레트 6color #비밀정원,롬앤,O
211,일리윤 세라마이드 아토 로션 350ML 1+1 [ 온가족 로션 ㅣ 아기 로션 ㅣ 보습로션 추천 ㅣ 민감성피부 ],일리윤,O
212,롬앤 한올 픽스 마스카라 2종 #한올라인,롬앤,O
213,바버501 이너부스터 남성청결제 263ml 2타입,바버501,O
214,더랩바이블랑두 그린 플라보노이드 2.5패드 90매,더랩 바이 블랑두,O
215,프리메라 리치 클렌징폼 대용량 250ml 저자극 폼클렌징,프리메라,O
216,[라피타] 저자극 5in1 실크프로 가정용제모기 모근제거기 1개,라피타,O
217,[지니핀] 붙이는 패디스티커 30pcs 꾸준템 150종 패디큐어,지니핀,O
218,[닥터지] 약산성 클렌징 젤 폼 200ml/300ml,닥터지,O
219,닥터방기원 댄드러프 비듬탈모샴푸 1000mlx2,닥터방기원,O
220,믹순 콩 에센스 50ml,믹순,O
221,소티스 수분앰플 1box+한정사은품,소티스,O
222,[1+1] 싸이닉 파워 옴므 올인원 플루이드 100ml/스킨+로션+에센스+크림!,싸이닉,O
223,엠디스픽 무향 바리스타 핸드크림 대용량 올리브영 입점 겟잇뷰티 뷰라벨,엠디스픽,O
